time,water_level_m,salinity_ppt,doc_mg_c_l
1850-08-30,0.5417819990943779,5.0,10.0
1850-08-31,0.5444028176670727,5.0,10.0
1850-09-01,0.48961963593147045,5.0,10.0
1850-09-02,0.44662436291792174,5.0,10.0
1850-09-03,0.40899772689423775,5.0,10.0
1850-09-04,0.3759661828339096,5.0,10.0
1850-09-05,0.34386981835798786,5.0,10.0
1850-09-06,0.3068089091363277,5.0,10.0
1850-09-07,0.27214945423440473,5.0,10.0
1850-09-08,0.27732181796160604,5.0,10.0
1850-09-09,0.2901834543087267,5.0,10.0
1850-09-10,0.29055290826098523,5.0,10.0
1850-09-11,0.3025832721746782,5.0,10.0
1850-09-12,0.30738618141199375,5.0,10.0
1850-09-13,0.29849618089888225,5.0,10.0
1850-09-14,0.3242656376855114,5.0,10.0
1850-09-15,0.3577936363705179,5.0,10.0
1850-09-16,0.35038145484274075,5.0,10.0
1850-09-17,0.36037981826852694,5.0,10.0
1850-09-18,0.37220236105024784,5.0,10.0
1850-09-19,0.3657599998761308,5.0,10.0
1850-09-20,0.35236727092428616,5.0,10.0
1850-09-21,0.36428218131444684,5.0,10.0
1850-09-22,0.36226172862703154,5.0,10.0
1850-09-23,0.3542260906537826,5.0,10.0
1850-09-24,0.3764049089656634,5.0,10.0
1850-09-25,0.3715211826687511,5.0,10.0
1850-09-26,0.35579627240245987,5.0,10.0
1850-09-27,0.34565936286286897,5.0,10.0
1850-09-28,0.34345418029183683,5.0,10.0
1850-09-29,0.34734500019956754,5.0,10.0
1850-09-30,0.3281910906400196,5.0,10.0
1850-10-01,0.3106881804822858,5.0,10.0
1850-10-02,0.31190045462975474,5.0,10.0
1850-10-03,0.30378399950443685,5.0,10.0
1850-10-04,0.30337990918501573,5.0,10.0
1850-10-05,0.3099839082718235,5.0,10.0
1850-10-06,0.3238384551134469,5.0,10.0
1850-10-07,0.31641472774859153,5.0,10.0
1850-10-08,0.2984499993462456,5.0,10.0
1850-10-09,0.30478845507258717,5.0,10.0
1850-10-10,0.32875681825278497,5.0,10.0
1850-10-11,0.36440918020409624,5.0,10.0
1850-10-12,0.35299072693965683,5.0,10.0
1850-10-13,0.3515184296570511,5.0,10.0
1850-10-14,0.3382933636941691,5.0,10.0
1850-10-15,0.3347719988741656,5.0,10.0
1850-10-16,0.31744227252426466,5.0,10.0
1850-10-17,0.26264754501825044,5.0,10.0
1850-10-18,0.2534342722517526,5.0,10.0
1850-10-19,0.2759248177885333,5.0,10.0
1850-10-20,0.3067280895692385,5.0,10.0
1850-10-21,0.32315727300941927,5.0,10.0
1850-10-22,0.3175115453403104,5.0,10.0
1850-10-23,0.30090918133096256,5.0,10.0
1850-10-24,0.3229695332217595,5.0,10.0
1850-10-25,0.3443316355251964,5.0,10.0
1850-10-26,0.3499196359701793,5.0,10.0
1850-10-27,0.3359727271178906,5.0,10.0
1850-10-28,0.29316218149121825,5.0,10.0
1850-10-29,0.2636404540181501,5.0,10.0
1850-10-30,0.2527877286610956,5.0,10.0
1850-10-31,0.25176018180588106,5.0,10.0
1850-11-01,0.24086127175214617,5.0,10.0
1850-11-02,0.2250209090547806,5.0,10.0
1850-11-03,0.1872210908748548,5.0,10.0
1850-11-04,0.23170572744846665,5.0,10.0
1850-11-05,0.2658109989897772,5.0,10.0
1850-11-06,0.27251890912858623,5.0,10.0
1850-11-07,0.2452023638824679,5.0,10.0
1850-11-08,0.21196299952671627,5.0,10.0
1850-11-09,0.20263427232486944,5.0,10.0
1850-11-10,0.20071772771745222,5.0,10.0
1850-11-11,0.22390100028137222,5.0,10.0
1850-11-12,0.21061218175788188,5.0,10.0
1850-11-13,0.10633363570730124,5.0,10.0
1850-11-14,0.07227929982700168,5.0,10.0
1850-11-15,0.15478759991824637,5.0,10.0
1850-11-16,0.17045162254019725,5.0,10.0
1850-11-17,0.1874519999627533,5.0,10.0
1850-11-18,0.19571854514005518,5.0,10.0
1850-11-19,0.16163636339765716,5.0,10.0
1850-11-20,0.1417435450174761,5.0,10.0
1850-11-21,0.162086636861092,5.0,10.0
1850-11-22,0.16103599959622053,5.0,10.0
1850-11-23,0.1567180001314389,5.0,10.0
1850-11-24,0.15681036340230234,5.0,10.0
1850-11-25,0.1865168172536589,5.0,10.0
1850-11-26,0.20620181830181664,5.0,10.0
1850-11-27,0.16613909105145447,5.0,10.0
1850-11-28,0.1660236355128952,5.0,10.0
1850-11-29,0.1806286359885877,5.0,10.0
1850-11-30,0.21214772760390546,5.0,10.0
1850-12-01,0.1985620255683296,5.0,10.0
1850-12-02,0.1515456365139139,5.0,10.0
1850-12-03,0.1464356181392209,5.0,10.0
1850-12-04,0.15270018121363094,5.0,10.0
1850-12-05,0.1679411855536244,5.0,10.0
1850-12-06,0.1924627275621856,5.0,10.0
1850-12-07,0.14998850561268037,5.0,10.0
1850-12-08,0.15268363303445276,5.0,10.0
1850-12-09,0.14362175947944442,5.0,10.0
1850-12-10,0.08493221219699618,5.0,10.0
1850-12-11,0.07045036313692946,5.0,10.0
1850-12-12,0.06901872772355988,5.0,10.0
1850-12-13,0.11917218126842587,5.0,10.0
1850-12-14,0.17057254527416077,5.0,10.0
1850-12-15,0.15316584820393467,5.0,10.0
1850-12-16,0.13897494492108184,5.0,10.0
1850-12-17,0.14609618161500174,5.0,10.0
1850-12-18,0.12464472692035918,5.0,10.0
1850-12-19,0.11480800020799732,5.0,10.0
1850-12-20,0.12720089088266556,5.0,10.0
1850-12-21,0.10996520658197144,5.0,10.0
1850-12-22,0.11313390890192232,5.0,10.0
1850-12-23,0.11386786954537413,5.0,10.0
1850-12-24,0.08336237981693048,5.0,10.0
1850-12-25,0.10186669982135302,5.0,10.0
1850-12-26,0.11313076020187668,5.0,10.0
1850-12-27,0.16699922749672408,5.0,10.0
1850-12-28,0.18850494561268535,5.0,10.0
1850-12-29,0.19702780008591692,5.0,10.0
1850-12-30,0.1478857263392347,5.0,10.0
1850-12-31,0.11426625179515935,5.0,10.0
